Character Name;Show Title;Representation Type;Justification for Classification;LGBTQ Community Impact;Portrayal;Authentic Characterization;Affirmation of Identity;Normalization of Relationship;Dynamic Role;Static Role;Stereotypical Characterization;Gay Best Friend;Tragic Trope;Tokenism;Character Transformation;Plot Resolution;Lens Orientation;Gender of the character;Sex Orientation of character;Performer;Gender of performer;Year;Creator;Gender of director;Production company;Place of publication;Genre of the tv-series
Jules Vaughn;Euphoria;Fair Representation;Multi-dimensional transgender character portrayed authentically with emotional depth.;Positive role model for transgender youth, promoting understanding.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes struggles and finds self-acceptance.;Open-ended (personal growth);Ideological Challenge;Transgender Female;Bisexual;Hunter Schafer;Female;2019;Sam Levinson;Male;HBO;USA;Drama
Eric Effiong;Sex Education;Fair Representation;Gay, Black character portrayed with depth, navigating relationships and family dynamics.;Broadens intersectional representation, showing complexity.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows from self-doubt to confidence.;Happy ending;Ideological Challenge;Male;Gay;Ncuti Gatwa;Male;2019;Laurie Nunn;Female;Netflix;UK;Comedy-Drama
Blaine Anderson;Glee;Fair Representation;Central gay character with a detailed portrayal of relationships and identity struggles.;Helped normalize LGBTQ+ relationships in mainstream media.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Learns resilience, finds love.;Happy ending;Ideological Challenge;Male;Gay;Darren Criss;Male;2009;Ryan Murphy;Male;Fox;USA;Musical, Comedy-Drama
Kevin Keller;Riverdale;Unfair Representation;"Portrayed in the ""gay best friend"" trope with minimal character development.";Reinforces clich√©s, adding little to LGBTQ+ visibility.;Superficial;No;No;No;No;Yes;Yes;Yes;No;Yes;Static and stereotypical.;Unresolved;Profit and Mass Appeal;Male;Gay;Casey Cott;Male;2017;Roberto Aguirre-Sacasa;Male;The CW;USA;Drama, Mystery
Emily Fields;Pretty Little Liars;Fair Representation;Lesbian character with nuanced relationships and complex storylines.;Normalizes LGBTQ+ relationships, empowering LGBTQ+ women.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence in identity.;Happy ending;Ideological Challenge;Female;Lesbian;Shay Mitchell;Female;2010;Ina Marlene King;Female;Freeform;USA;Drama, Mystery
Adam Groff;Sex Education;Fair Representation;Subtle exploration of internalized homophobia and self-acceptance.;Highlights importance of addressing repression.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows from repression to acceptance.;Open-ended (self-growth);Ideological Challenge;Male;Questioning;Connor Swindells;Male;2019;Laurie Nunn;Female;Netflix;UK;Comedy-Drama
Lexa;The 100;Unfair Representation;"Lesbian character killed off shortly after a meaningful relationship, reinforcing the ""bury your gays"" trope.";Sparked backlash for perpetuating harmful LGBTQ+ tropes.;Superficial;No;Yes;No;No;Yes;No;No;Yes;No;Dies before meaningful growth.;Death;Profit and Mass Appeal;Female;Lesbian;Alycia Debnam-Carey;Female;2014;Jason Rothenberg;Male;The CW;USA;Science Fiction, Drama
Connor Walsh;How to Get Away with Murder;Fair Representation;Gay character with complex relationships and moral struggles.;Tackles issues of societal bias and personal redemption.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Develops self-awareness and integrity.;Open-ended (growth);Ideological Challenge;Male;Gay;Jack Falahee;Male;2014;Peter Nowalk;Male;ABC;USA;Legal Drama, Thriller
Sophia Burset;Orange Is the New Black;Fair Representation;Transgender character navigating systemic discrimination in prison.;Illuminates systemic challenges for trans individuals, fostering empathy.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Confronts systemic oppression.;Open-ended (resilience);Ideological Challenge;Female;Transgender;Laverne Cox;Female;2013;Jenji Leslie Kohan;Female;Netflix;USA;Comedy-Drama
Kelly;Black Mirror: San Junipero;Fair Representation;Bisexual character with an empowering love story and a rare happy ending.;Breaks stereotypes by showing LGBTQ+ love in a positive light.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds love and peace.;Happy ending;Ideological Challenge;Female;Bisexual;Gugu Mbatha-Raw;Female;2016;Owen Harris;Male;Netflix;USA;Science Fiction, Drama
Lito Rodriguez;Sense8;Fair Representation;Gay character portrayed with depth, exploring his career struggles, relationship, and coming out.;Highlights LGBTQ+ challenges in global contexts.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Moves from secrecy to pride.;Happy ending;Ideological Challenge;Male;Gay;Miguel √Ångel Silvestre;Male;2015;Lana e Lilly Wachowski;Transgender women;Netflix;USA;Science Fiction, Drama
Tara Maclay;Buffy the Vampire Slayer;Unfair Representation;"Lesbian character killed suddenly, reinforcing the ""bury your gays"" trope.";Controversial portrayal, perpetuating harmful LGBTQ+ tropes.;Superficial;No;Yes;Yes;No;Yes;No;No;Yes;No;Dies abruptly.;Death;Profit and Mass Appeal;Female;Lesbian;Amber Benson;Female;1999;Joss Whedon;Male;The WB;USA;Supernatural, Drama
Nomi Marks;Sense8;Fair Representation;Transgender hacker portrayed with depth, exploring her relationships and challenges.;One of the first trans characters portrayed positively in mainstream sci-fi.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence and security.;Happy ending;Ideological Challenge;Female;Transgender;Jamie Clayton;Female;2015;Lana e Lilly Wachowski;Transgender women;Netflix;USA;Science Fiction, Drama
Omar Shanaa;Elite;Fair Representation;Gay Muslim character navigating societal and cultural pressures while pursuing a meaningful relationship.;Highlights intersectionality, addressing sexuality in cultural contexts.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds balance between love and identity.;Happy ending;Ideological Challenge;Male;Gay;Omar Ayuso;Male;2018;Carlos Montero;Male;Netflix;Spain;Thriller, Teen Drama
David Rose;Schitt¬ís Creek;Fair Representation;Pansexual character portrayed with humor and depth, showing evolving relationships.;Celebrates LGBTQ+ lives through humor and acceptance.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds love and fulfillment.;Happy ending;Ideological Challenge;Male;Pansexual;Dan Levy;Male;2015;Eugene Levy;Male;CBC;Canada;Comedy
Casey Gardner;Atypical;Fair Representation;Explores the struggles and triumphs of a bisexual teenager navigating her identity and relationships.;Positively portrays bisexuality, showcasing complexity.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence in her relationships.;Open-ended (growth);Ideological Challenge;Female;Bisexual;Brigette Lundy-Paine;Non-binary;2017;Robia Rashid ;Female;Netflix;USA;Comedy-Drama
Kat Edison;The Bold Type;Fair Representation;Bisexual character with an empowering storyline and meaningful exploration of her sexual identity.;Promotes bisexual visibility and challenges workplace discrimination.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes fears and takes control of her life.;Open-ended (career growth);Ideological Challenge;Female;Bisexual;Aisha Dee;Female;2017;Sarah Watson;Female;Freeform;USA;Comedy-Drama
Santana Lopez;Glee;Fair Representation;Lesbian character who evolves from repression and denial to pride and self-acceptance.;Normalized LGBTQ+ relationships in mainstream teen TV.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds peace with her identity and love.;Happy ending;Ideological Challenge;Female;Lesbian;Naya Rivera;Female;2009;Ryan Murphy;Male;Fox;USA;Musical, Comedy-Drama
Victor Salazar;Love, Victor;Fair Representation;Gay Latinx teenager navigating coming out and family acceptance in a conservative environment.;Highlights intersectionality and the nuances of coming out in traditional families.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes internalized fear and bias.;Happy ending;Ideological Challenge;Male;Gay;Michael Cimino;Male;2020;Isaac Aptaker;Male;Hulu;USA;Teen Drama, Romance
Khaled;Young Royals;Fair Representation;Gay Muslim student portrayed with depth and resilience, navigating challenges of love and identity in a royal school setting.;Promotes diverse LGBTQ+ representation and addresses religious and cultural challenges.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Balances love and cultural identity.;Open-ended (growth);Ideological Challenge;Male;Gay;Anastasios Soulis;Male;2021;Lisa Ambjˆrn;Female;Netflix;Sweden;Teen Drama, Romance
Ray Holt;Brooklyn Nine-Nine;Fair Representation;Gay Black police captain portrayed with dignity, humor, and depth.;Subverts stereotypes and challenges workplace biases.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Provides mentorship and breaks barriers.;Happy ending;Ideological Challenge;Male;Gay;Andre Braugher;Male;2013;Michael Schur;Male;Fox/NBC;USA;Comedy
Syd;One Day at a Time;Fair Representation;Non-binary character portrayed authentically with respect and humor in a multi-generational family dynamic.;Increases visibility for non-binary individuals and promotes acceptance.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains family acceptance and self-confidence.;Happy ending;Ideological Challenge;Non-binary;Non-binary;Sheridan Pierce;Non-binary;2017;Gloria CalderÛn Kellett;Female;Netflix;USA;Comedy
Mickey Dobbs;Love;Unfair Representation;Queer character whose storyline remains ambiguous and underdeveloped, falling into tokenism.;Lacks meaningful engagement with LGBTQ+ themes.;Superficial;No;No;No;No;Yes;No;No;No;Yes;Static and minimally impactful.;Unresolved;Profit and Mass Appeal;Female;Bisexual;Gillian Jacobs;Female;2016;Judd Apatow;Male;Netflix;USA;Comedy-Drama
Omar Ayuso;Elite;Fair Representation;Gay Muslim character whose relationships are portrayed with depth, showcasing struggles against societal and family expectations.;Challenges stereotypes of LGBTQ+ individuals in conservative communities.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Balances tradition and modern love.;Happy ending;Ideological Challenge;Male;Gay;Omar Ayuso;Male;2018;Carlos Montero;Male;Netflix;Spain;Thriller, Teen Drama
Denise;Master of None;Fair Representation;Lesbian Black woman exploring love, career, and friendships, portrayed with emotional complexity and humor.;Challenges heteronormative narratives and broadens representation.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows into confidence and love.;Happy ending;Ideological Challenge;Female;Lesbian;Lena Waithe;Female;2015;Aziz Ansari;Male;Netflix;USA;Comedy-Drama
Patrick Brewer;Schitt¬ís Creek;Fair Representation;Gay character portrayed in a healthy, supportive, and normalized relationship.;Breaks stereotypes with a positive LGBTQ+ relationship on screen.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Becomes part of a loving community.;Happy ending;Ideological Challenge;Male;Gay;Noah Reid;Male;2017;Eugene Levy;Male;CBC;Canada;Comedy
Theo Putnam;Chilling Adventures of Sabrina;Unfair Representation;Trans character whose storyline is largely underexplored and lacks emotional depth.;Missed opportunity to delve into meaningful trans representation.;Superficial;No;No;No;No;Yes;No;No;No;Yes;Static and underdeveloped.;Unresolved;Profit and Mass Appeal;Male;Transgender;Lachlan Watson;Non-binary;2018;Roberto Aguirre-Sacasa;Male;Netflix;USA;Drama, Horror, Fantasy
Alice;Sharp Objects;Fair Representation;Queer character with a complex relationship to the protagonist, portraying both vulnerability and strength.;Tackles internal struggles and empowerment.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes trauma and grows stronger.;Open-ended (healing);Ideological Challenge;Female;Not specified;Sydney Sweeney;Female;2018;Jean-Marc VallÈe;Male;HBO;USA;Drama, Thriller, Mystery
Shane Harvey;Faking It;Unfair Representation;Gay best friend trope with little character depth or growth.;Reinforces outdated stereotypes without subverting them.;Superficial;No;No;No;No;Yes;Yes;Yes;No;Yes;Static and stereotypical.;Unresolved;Profit and Mass Appeal;Male;Gay;Michael Willett;Male;2014;Dana Min Goodman;Female;MTV;USA;Comedy, Drama, Romance
Magnus Bane;Shadowhunters;Fair Representation;Bisexual character portrayed with emotional depth and a rich backstory, exploring love and conflict.;Celebrates LGBTQ+ identity with fantasy elements.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Balances love and leadership.;Happy ending;Ideological Challenge;Male;Bisexual;Harry Shum Jr.;Male;2016;Ed Decter;Male;Freeform;USA;Fantasy, Drama, Action
